Date,Opening,High,Low,Close,Volume
43535,10.14,10.65,10.02,10.65,0
43532,9.77,10.07,9.71,10.04,0
43531,10.34,10.56,10.01,10.14,0
43530,10.7,10.73,10.53,10.55,0
43529,10.58,10.86,10.58,10.86,0
43528,11.08,11.08,10.39,10.58,0
43525,10.74,11.17,10.74,10.97,0
43524,9.79,10.4,9.79,10.34,0
43523,10.22,10.33,10,10.26,0
43522,9.92,10.5,9.92,10.45,0
43521,10.27,10.33,10.11,10.11,0
43518,9.8,10.09,9.8,9.92,0
43517,10.01,10.01,9.69,9.69,0
43516,9.27,9.91,9.27,9.88,0
43515,9.04,9.3,8.99,9.3,0
43514,9.04,9.17,8.93,9.17,0
43511,7.72,9.14,7.72,9.14,0
43510,8.47,8.57,7.98,8.12,0
43509,8.43,8.53,8.17,8.51,0
43508,8.1,8.21,8.1,8.18,0
43507,7.35,7.69,7.35,7.51,0
43504,7.64,7.73,7.03,7.33,0
43503,8.8,8.81,7.68,7.81,0
43502,9.19,9.19,9.05,9.11,0
43501,8.38,9.43,8.38,9.42,0
43500,8.57,8.57,8.07,8.47,0
43497,8.6,8.74,8.44,8.55,0
43496,8.98,9.35,8.14,8.66,0
43495,8.9,8.99,8.73,8.96,0
43494,8.97,9.12,8.8,8.99,0
43493,9.24,9.24,8.84,9.15,0
43490,9.06,9.56,9.06,9.24,0
43489,8.35,8.71,8.34,8.7,0
43488,8.25,8.66,8.24,8.37,0
43487,8.38,8.65,8.09,8.14,0
43486,8.87,8.87,8.67,8.75,0
43483,8,9.19,8,9.19,0
43482,7.59,7.86,7.5,7.86,0
43481,8.17,8.17,7.79,7.93,0
43480,8.29,8.29,7.69,7.99,0
43479,7.68,7.97,7.67,7.97,0
43476,8.21,8.21,7.8,8.01,0
43475,7.6,8.22,7.55,8.22,0
43474,7.98,8.12,7.73,7.91,0
43473,7.21,7.86,7.21,7.68,0
43472,7.63,7.63,6.98,7.28,0
43469,6.53,7.53,6.49,7.53,0
43468,6.41,6.6,6.17,6.2,0
43467,6.56,7.05,6.25,6.93,0
43462,6.47,7,6.47,6.93,0
43461,7.02,7.09,6.05,6.42,0
43455,6.86,7.1,6.67,6.67,0
43454,7.1,7.2,6.6,6.77,0
43453,7.57,7.89,7.03,7.04,0
43452,7.32,7.83,7.32,7.61,0
43451,7.97,7.97,7.25,7.25,0
43448,7.78,7.95,7.37,7.85,0
43447,8.27,8.33,7.99,8.09,0
43446,7.81,8.24,7.64,8.17,0
43445,7.15,7.76,7.04,7.55,0